% Model:              version04-chipAndSpace.mph
% Version:            COMSOL 6.1.0.252
% Date:               Aug 31 2023, 16:01
% Dimension:          1
% Nodes:              1965
% Expressions:        21
% Description:        Line graph
% x-coordinate (mm),Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction
-48.727931322496204,0,3.373698463641621E22,6.747396927283305E22,1.0121095390925514E23,1.3494793854566482E23,1.6868492318207088E23,2.0242190781851153E23,2.3615889245486524E23,2.6989587709132794E23,3.0363286172775876E23,3.3736984636412565E23,3.71106831000547E23,4.04843815637022E23,4.3858080027334365E23,4.7231778490973276E23,5.0605476954626636E23,5.397917541826593E23,5.7352873881901016E23,6.072657234554853E23,6.410027080919612E23,6.747396927282779E23
-48.55898978343464,0,3.373718269564915E22,6.747436539129886E22,1.0121154808695364E23,1.3494873078259661E23,1.6868591347823522E23,2.0242309617390878E23,2.3616027886949543E23,2.698974615651915E23,3.036346442608544E23,3.37371826956454E23,3.711090096521086E23,4.048461923478163E23,4.385833750433719E23,4.7232055773899355E23,5.060577404347592E23,5.3979492313038644E23,5.735321058259695E23,6.072692885216777E23,6.410064712173863E23,6.747436539129355E23
-48.193161025759814,0,3.3737551202148243E22,6.747510240429705E22,1.0121265360645119E23,1.3495020480859292E23,1.6868775601073073E23,2.024253072129036E23,2.3616285841498937E23,2.699004096171842E23,3.036379608193468E23,3.373755120214457E23,3.711130632235976E23,4.048506144258064E23,4.385881656278594E23,4.723257168299813E23,5.060632680322453E23,5.398008192343717E23,5.735383704364535E23,6.072759216386617E23,6.410134728408678E23,6.747510240429172E23
-48.13711667490875,0,3.3737596618634013E22,6.747519323726858E22,1.0121278985590859E23,1.3495038647453604E23,1.6868798309315927E23,2.0242557971181838E23,2.3616317633038985E23,2.699007729490703E23,3.0363836956771856E23,3.37375966186302E23,3.711135628049414E23,4.048511594236357E23,4.3858875604217534E23,4.723263526607819E23,5.060639492795317E23,5.3980154589814414E23,5.735391425167128E23,6.072767391354061E23,6.41014335754099E23,6.74751932372632E23
-48.09269051208295,0,3.373763455448211E22,6.747526910896475E22,1.0121290366345259E23,1.3495053821792839E23,1.6868817277239995E23,2.0242580732690652E23,2.3616344188132628E23,2.6990107643585523E23,3.036387109903512E23,3.3737634554478327E23,3.711139800992711E23,4.04851614653812E23,4.385892492082001E23,4.7232688376265545E23,5.060645183172532E23,5.3980215287171354E23,5.7353978742612924E23,6.072774219806718E23,6.410150565352125E23,6.747526910895942E23
-48.02292114091258,0,3.373768923179853E22,6.747537846359756E22,1.0121306769540201E23,1.3495075692719402E23,1.686884461589822E23,2.0242613539080546E23,2.3616382462254157E23,2.699015138543867E23,3.036392030861991E23,3.3737689231794826E23,3.711145815497521E23,4.0485227078160945E23,4.385899600133144E23,4.723276492450858E23,5.060653384770007E23,5.3980302770877606E23,5.735407169405091E23,6.072784061723677E23,6.410160954042251E23,6.747537846359227E23
-47.98465195199832,0,3.3737720609503837E22,6.747544121900826E22,1.0121316182851803E23,1.3495088243801528E23,1.6868860304750903E23,2.024263236570375E23,2.3616404426647887E23,2.6990176487602932E23,3.036394854855473E23,3.373772060950012E23,3.7111492670450975E23,4.0485264731407366E23,4.385903679234828E23,4.723280885329599E23,5.0606580914258E23,5.398035297520611E23,5.7354125036149974E23,6.07278970971063E23,6.410166915806257E23,6.747544121900306E23
-47.9367381802466,0,3.373775426065388E22,6.747550852130844E22,1.012132627819681E23,1.3495101704261546E23,1.6868877130325956E23,2.0242652556393746E23,2.3616427982452944E23,2.6990203408522945E23,3.0363978834589846E23,3.3737754260650255E23,3.711152968671608E23,4.0485305112787386E23,4.3859080538843506E23,4.7232855964906095E23,5.060663139098308E23,5.3980406817046186E23,5.7354182243104977E23,6.072795766917646E23,6.410173309524785E23,6.747550852130326E23
-47.79325111666992,0,3.3737853495244526E22,6.747570699048964E22,1.012135604857401E23,1.349514139809781E23,1.686892674762125E23,2.0242712097148152E23,2.3616497446666345E23,2.6990282796195484E23,3.036406814572141E23,3.373785349524092E23,3.711163884476584E23,4.0485424194296223E23,4.385920954381127E23,4.723299489333298E23,5.060678024286911E23,5.398056559239124E23,5.735435094190923E23,6.072813629143973E23,6.410192164096986E23,6.747570699048439E23
-47.55796303973384,0,3.373799187694951E22,6.747598375389965E22,1.0121397563085502E23,1.3495196750779808E23,1.686899593847375E23,2.0242795126171146E23,2.361659431385989E23,2.6990393501559468E23,3.0364192689255784E23,3.373799187694582E23,3.711179106464121E23,4.048559025234218E23,4.3859389440027703E23,4.723318862772005E23,5.060698781542654E23,5.398078700311923E23,5.735458619080763E23,6.072838537850854E23,6.410218456620937E23,6.747598375389438E23
-47.204483101898575,0,3.373816212095182E22,6.747632424190415E22,1.012144863628618E23,1.3495264848380726E23,1.6869081060474887E23,2.024289727257251E23,2.3616713484661416E23,2.6990529696761315E23,3.0364345908857894E23,3.3738162120948116E23,3.7111978333043746E23,4.0485794545144926E23,4.3859610757230665E23,4.723342696932311E23,5.0607243181429905E23,5.3981059393522904E23,5.735487560561144E23,6.07286918177126E23,6.410250802981361E23,6.747632424189894E23
-46.696947154048026,0,3.3738330417213303E22,6.747666083442716E22,1.0121499125164634E23,1.3495332166885316E23,1.686916520860562E23,2.0242998250329373E23,2.3616831292044463E23,2.6990664333770475E23,3.03644973754932E23,3.373833041720957E23,3.711216345893131E23,4.048599650065866E23,4.385982954237051E23,4.723366258408911E23,5.060749562582215E23,5.3981328667541265E23,5.7355161709255985E23,6.072899475098328E23,6.410282779271043E23,6.747666083442188E23
-46.48683007931149,0,3.3738378493803102E22,6.74767569876068E22,1.0121513548141557E23,1.3495351397521234E23,1.6869189246900517E23,2.024302709628324E23,2.3616864945657347E23,2.6990702795042348E23,3.0364540644424046E23,3.3738378493799376E23,3.711221634318025E23,4.048605419256639E23,4.385989204193729E23,4.723372989131492E23,5.060756774070689E23,5.398140559008494E23,5.7355243439458656E23,6.072908128884488E23,6.410291913823112E23,6.747675698760146E23
