% Model:              version04-chipAndSpace.mph
% Version:            COMSOL 6.1.0.252
% Date:               Aug 31 2023, 14:20
% Dimension:          1
% Nodes:              1965
% Expressions:        41
% Description:        Line graph
% x-coordinate (mm),Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction
-48.727931322496204,6.747396927282835E23,7.422136620010689E23,8.0968763127404E23,8.77161600546693E23,9.44635569819461E23,1.0121095390924331E24,1.0795835083653182E24,1.1470574776380139E24,1.214531446910963E24,1.282005416183826E24,1.3494793854565654E24,1.4169533547295796E24,1.4844273240021903E24,1.5519012932752544E24,1.6193752625480786E24,1.68684923182079E24,1.7543232010934004E24,1.8217971703665485E24,1.8892711396390086E24,1.956745108911866E24,2.0242190781850654E24,2.0916930474576606E24,2.1591670167306235E24,2.226640986003263E24,2.2941149552761391E24,2.361588924548761E24,2.4290628938219246E24,2.4965368630946743E24,2.564010832367653E24,2.6314848016402785E24,2.698958770913131E24,2.766432740186266E24,2.833906709459159E24,2.901380678731693E24,2.968854648004278E24,3.036328617277208E24,3.103802586550509E24,3.1712765558230326E24,3.238750525096157E24,3.3062244943689847E24,3.373698463641711E24
-48.55898978343464,6.747436539129409E23,7.422180193041921E23,8.096923846956283E23,8.771667500867501E23,9.446411154779817E23,1.0121154808694199E24,1.0795898462607725E24,1.1470642116519316E24,1.2145385770433482E24,1.2820129424346747E24,1.3494873078258807E24,1.4169616732173586E24,1.4844360386084357E24,1.5519104039999612E24,1.6193847693912541E24,1.6868591347824327E24,1.7543335001735134E24,1.8218078655651266E24,1.8892822309560529E24,1.9567565963473753E24,2.024230961739037E24,2.091705327130096E24,2.159179692521532E24,2.226654057912632E24,2.2941284233039733E24,2.361602788695058E24,2.4290771540866937E24,2.496551519477913E24,2.5640258848693494E24,2.6315002502604443E24,2.6989746156517614E24,2.7664489810433593E24,2.833923346434717E24,2.9013977118257283E24,2.96887207721677E24,3.036346442608179E24,3.1038208079999224E24,3.1712951733909254E24,3.2387695387825083E24,3.3062439041738173E24,3.3737182695650013E24
-48.193161025759814,6.747510240429229E23,7.422261264471718E23,8.097012288516086E23,8.771763312557242E23,9.446514336599575E23,1.0121265360643936E24,1.0796016384687431E24,1.1470767408728986E24,1.2145518432773162E24,1.282026945681637E24,1.3495020480858448E24,1.4169771504903214E24,1.4844522528943922E24,1.551927355298919E24,1.6194024577032153E24,1.686877560107386E24,1.7543526625114612E24,1.8218277649160783E24,1.8893028673200017E24,1.9567779697243194E24,2.0242530721289812E24,2.0917281745330432E24,2.1592032769374736E24,2.2266783793415685E24,2.2941534817459134E24,2.3616285841499997E24,2.42910368655463E24,2.4965787889588483E24,2.564053891363274E24,2.631528993767377E24,2.6990040961716896E24,2.7664791985762857E24,2.833954300980643E24,2.9014294033846403E24,2.9689045057886893E24,3.036379608193088E24,3.103854710597838E24,3.171329813001841E24,3.2388049154064306E24,3.3062800178107287E24,3.373755120214905E24
-48.13711667490875,6.747519323726371E23,7.422271256098593E23,8.097023188472672E23,8.771775120843567E23,9.446527053215594E23,1.0121278985589654E24,1.079603091796288E24,1.1470782850334187E24,1.2145534782708058E24,1.2820286715081005E24,1.3495038647452728E24,1.4169790579827251E24,1.484454251219769E24,1.5519294444572676E24,1.6194046376945328E24,1.686879830931676E24,1.7543550241687298E24,1.8218302174063112E24,1.889305410643204E24,1.956780603880499E24,2.0242557971181267E24,2.0917309903551594E24,2.1592061835925623E24,2.226681376829632E24,2.2941565700669494E24,2.3616317633040004E24,2.4291069565416084E24,2.4965821497787933E24,2.564057343016201E24,2.631532536253265E24,2.6990077294905457E24,2.766482922728124E24,2.8339581159654503E24,2.9014333092024253E24,2.9689085024394395E24,3.0363836956768124E24,3.103858888914535E24,3.171334082151506E24,3.2388092753890657E24,3.3062844686263365E24,3.3737596618634865E24
-48.09269051208295,6.747526910895998E23,7.422279601985178E23,8.097032293076195E23,8.77178498416406E23,9.446537675253051E23,1.0121290366344093E24,1.0796043057434268E24,1.147079574852252E24,1.2145548439613352E24,1.2820301130703268E24,1.3495053821791983E24,1.416980651288342E24,1.4844559203970866E24,1.5519311895062762E24,1.6194064586152374E24,1.6868817277240794E24,1.7543569968328275E24,1.8218322659421083E24,1.889307535050695E24,1.9567828041596866E24,2.0242580732690129E24,2.0917333423777435E24,2.1592086114868418E24,2.2266838805956054E24,2.294159149704615E24,2.3616344188133676E24,2.4291096879226683E24,2.496584957031546E24,2.564060226140654E24,2.6315354952494225E24,2.6990107643583966E24,2.766486033467667E24,2.833961302576684E24,2.9014365716853575E24,2.968911840794074E24,3.0363871099031413E24,3.1038623790125524E24,3.171337648121223E24,3.238812917230475E24,3.306288186339443E24,3.373763455448288E24
-48.02292114091258,6.747537846359289E23,7.42229163099479E23,8.097045415632149E23,8.771799200266347E23,9.446552984901663E23,1.0121306769539027E24,1.0796060554175521E24,1.1470814338810104E24,1.2145568123447273E24,1.2820321908083522E24,1.3495075692718558E24,1.4169829477356346E24,1.4844583261990102E24,1.5519337046628373E24,1.6194090831264273E24,1.6868844615899044E24,1.7543598400532834E24,1.8218352185171934E24,1.889310596980419E24,1.9567859754440447E24,2.0242613539080028E24,2.0917367323713623E24,2.1592121108350935E24,2.2266874892984903E24,2.294162867762135E24,2.3616382462255228E24,2.4291136246894524E24,2.496589003152967E24,2.564064381616705E24,2.631539760080102E24,2.6990151385437117E24,2.7664905170076163E24,2.833965895471269E24,2.9014412739345715E24,2.968916652397918E24,3.03639203086162E24,3.1038674093256745E24,3.171342787788973E24,3.2388181662528546E24,3.3062935447164565E24,3.3737689231799413E24
-47.98465195199832,6.747544121900361E23,7.42229853408994E23,8.09705294628143E23,8.771807358469706E23,9.446561770659155E23,1.0121316182850615E24,1.0796070595041221E24,1.1470825007229916E24,1.214557941942118E24,1.2820333831611546E24,1.34950882438007E24,1.416984265599259E24,1.4844597068180425E24,1.5519351480372812E24,1.619410589256284E24,1.686886030475168E24,1.7543614716939576E24,1.82183691291328E24,1.889312354131916E24,1.9567877953509494E24,2.02426323657032E24,2.091738677789086E24,2.1592141190082346E24,2.226689560227047E24,2.294165001446095E24,2.3616404426648898E24,2.4291158838842334E24,2.496591325103161E24,2.5640667663223097E24,2.631542207541117E24,2.69901764876014E24,2.7664930899794585E24,2.833968531198518E24,2.901443972417239E24,2.9689194136359787E24,3.0363948548550995E24,3.1038702960745624E24,3.171345737293265E24,3.238821178512568E24,3.3062966197315764E24,3.373772060950468E24
-47.9367381802466,6.747550852130382E23,7.422305937342963E23,8.09706102255744E23,8.771816107768751E23,9.446571192981177E23,1.012132627819564E24,1.0796081363409236E24,1.1470836448620928E24,1.214559153383521E24,1.2820346619048568E24,1.349510170426075E24,1.4169856789475646E24,1.484461187468645E24,1.5519366959901844E24,1.6194122045114852E24,1.6868877130326692E24,1.7543632215537673E24,1.821838730075383E24,1.88931423859632E24,1.9567897471176576E24,2.0242652556393232E24,2.0917407641603942E24,2.1592162726818356E24,2.226691781202946E24,2.2941672897243E24,2.3616427982453952E24,2.4291183067670395E24,2.496593815288268E24,2.5640693238097136E24,2.631544832330825E24,2.69902034085215E24,2.766495849373755E24,2.8339713578951293E24,2.901446866416139E24,2.968922374937188E24,3.036397883458604E24,3.103873391980369E24,3.1713489005013706E24,3.2388244090229704E24,3.306299917544282E24,3.3737754260654727E24
-47.79325111666992,6.7475706990485E23,7.422327768952921E23,8.097084838859196E23,8.77184190876231E23,9.446598978666538E23,1.0121356048572836E24,1.0796113118478244E24,1.1470870188381759E24,1.2145627258287865E24,1.2820384328193033E24,1.3495141398096982E24,1.416989846800366E24,1.484465553790636E24,1.5519412607813528E24,1.6194169677718366E24,1.686892674762206E24,1.7543683817524753E24,1.821844088743279E24,1.8893197957333965E24,1.9567955027239108E24,2.0242712097147648E24,2.0917469167050113E24,2.1592226236956387E24,2.226698330685931E24,2.2941740376764643E24,2.3616497446667456E24,2.429125451657572E24,2.4966011586479747E24,2.564076865638607E24,2.631552572628893E24,2.6990282796193965E24,2.7665039866101874E24,2.833979693600732E24,2.901455400590937E24,2.96893110758117E24,3.036406814571767E24,3.1038825215627056E24,3.171358228552897E24,3.238833935543673E24,3.306309642534168E24,3.373785349524537E24
-47.55796303973384,6.7475983753895E23,7.422358212927995E23,8.097118050468386E23,8.771877888005602E23,9.446637725543956E23,1.0121397563084321E24,1.0796157400623842E24,1.1470917238161453E24,1.2145677075701635E24,1.282043691324092E24,1.3495196750778978E24,1.4169956588319804E24,1.4844716425856503E24,1.5519476263397802E24,1.619423610093675E24,1.6868995938474544E24,1.7543755776011352E24,1.8218515613553465E24,1.889327545108876E24,1.9568035288627987E24,2.0242795126170615E24,2.0917554963707246E24,2.1592314801247574E24,2.2267074638784576E24,2.2941834476324023E24,2.361659431386091E24,2.429135415140325E24,2.496611398894141E24,2.564087382648184E24,2.6315633664018825E24,2.6990393501557955E24,2.7665153339099936E24,2.833991317663961E24,2.9014673014175615E24,2.9689432851711997E24,3.036419268925209E24,3.1038952526795605E24,3.171371236433175E24,3.23884722018735E24,3.306323203941259E24,3.373799187695044E24
