512  512
-197,96
-196,98
-196
-195,02
-194,04
-193,06
-192,08
-191,1
-190,12
-189,14
-188,16
-187,18
-186,2
-185,22
-184,24
-183,26
-182,28
-181,3
-180,32
-179,34
-178,36
-177,38
-176,4
-175,42
-174,44
-173,46
-172,48
-171,5
-170,52
-169,54
-168,56
-167,58
-166,6
-165,62
-164,64
-163,66
-162,68
-161,7
-160,72
-159,74
-158,76
-157,78
-156,8
-155,82
-154,84
-153,86
-152,88
-151,9
-150,92
-149,94
-148,96
-147,98
-147
-146,02
-145,04
-144,06
-143,08
-142,1
-141,12
-140,14
-139,16
-138,18
-137,2
-136,22
-135,24
-134,26
-133,28
-132,3
-131,32
-130,34
-129,36
-128,38
-127,4
-126,42
-125,44
-124,46
-123,48
-122,5
-121,52
-120,54
-119,56
-118,58
-117,6
-116,62
-115,64
-114,66
-113,68
-112,7
-111,72
-110,74
-109,76
-108,78
-107,8
-106,82
-105,84
-104,86
-103,88
-102,9
-101,92
-100,94
-99,96
-98,98
-98
-97,02
-96,04
-95,06
-94,08
-93,1
-92,12
-91,14
-90,16
-89,18
-88,2
-87,22
-86,24
-85,26
-84,28
-83,3
-82,32
-81,34
-80,36
-79,38
-78,4
-77,42
-76,44
-75,46
-74,48
-73,5
-72,52
-71,54
-70,56
-69,58
-68,6
-67,62
-66,64
-65,66
-64,68
-63,7
-62,72
-61,74
-60,76
-59,78
-58,8
-57,82
-56,84
-55,86
-54,88
-53,9
-52,92
-51,94
-50,96
-49,98
-49
-48,02
-47,04
-46,06
-45,08
-44,1
-43,12
-42,14
-41,16
-40,18
-39,2
-38,22
-37,24
-36,26
-35,28
-34,3
-33,32
-32,34
-31,36
-30,38
-29,4
-28,42
-27,44
-26,46
-25,48
-24,5
-23,52
-22,54
-21,56
-20,58
-19,6
-18,62
-17,64
-16,66
-15,68
-14,7
-13,72
-12,74
-11,76
-10,78
-9,8
-8,82
-7,84
-6,86
-5,88
-4,9
-3,92
-2,94
-1,96
-0,98
0
0,98
1,96
2,94
3,92
4,9
5,88
6,86
7,84
8,82
9,8
10,78
11,76
12,74
13,72
14,7
15,68
16,66
17,64
18,62
19,6
20,58
