-2652,707  1,866739E-8  0  -0,0004761519  0,0001571945
-2676,289  8,563265E-10  0  -0,0001080253  8,387804E-6
-2700,294  9,848422E-10  0  3,28875E-5  0,0001125318
-2724,733  2,155749E-9  0  0,0001064374  0,0001389423
-2749,619  8,824569E-9  0  0,0003520683  -6,122862E-5
-2774,963  1,714444E-8  0  0,0004598837  -0,0002029788
-2800,779  3,764473E-9  0  0,0001872483  -0,0001464928
-2827,08  1,4052E-9  0  -6,533906E-5  -0,0001312533
-2853,879  5,035118E-9  0  7,078451E-5  -0,0002710787
-2881,192  1,269247E-8  0  0,0002873795  -0,0003450877
-2909,032  6,911641E-9  0  0,0002206632  -0,0002515161
-2937,415  2,72206E-9  0  0,0001127717  -0,0001795501
-2966,358  5,859559E-9  0  0,0002540745  -0,0001847567
-2995,877  7,95151E-9  0  0,000360311  -8,232211E-5
-3025,99  1,444737E-9  0  0,0001304002  9,11961E-5
-3056,713  1,081484E-9  0  -0,0001374007  2,150237E-5
-3088,067  5,380696E-9  0  -0,0001153139  -0,0002914026
-3120,071  8,857016E-9  0  -8,06735E-5  -0,0003981526
-3152,746  6,431802E-9  0  -0,0003352778  -9,978214E-5
-3186,112  1,686048E-8  0  -0,0005351391  0,0002030496
-3220,191  5,381347E-9  0  -0,0002929711  0,0001448364
-3255,008  4,059083E-10  0  5,363836E-5  -7,317513E-5
-3290,586  5,454892E-10  0  1,811808E-6  -0,0001063117
-3326,95  2,735476E-9  0  -0,0002405487  -9,490573E-6
-3364,126  1,48161E-9  0  -0,000179084  -4,868421E-6
-3402,143  3,855323E-10  0  7,062016E-5  -5,96159E-5
-3441,029  3,277646E-10  0  6,809217E-5  -5,283796E-5
-3480,815  7,569365E-10  0  -0,0001142551  -6,708069E-5
-3521,531  1,700488E-9  0  -9,397652E-5  -0,0001775733
-3563,21  2,100016E-9  0  6,464097E-5  -0,000216462
-3605,889  1,755008E-10  0  2,968341E-5  -5,9048E-5
-3649,602  8,822877E-10  0  -0,0001059542  0,0001061472
-3694,388  2,834085E-10  0  -2,103952E-5  8,343336E-5
-3740,286  9,621645E-10  0  0,0001604319  -5,069715E-6
-3787,34  2,796654E-10  0  8,47753E-5  2,216795E-5
-3835,592  8,603698E-10  0  -0,0001323904  8,185431E-5
-3885,09  4,119129E-10  0  -0,0001010305  4,114965E-5
-3935,882  4,415443E-10  0  0,0001144132  -1,366605E-6
-3988,02  6,420462E-10  0  0,0001249101  6,278956E-5
-4041,557  4,506587E-10  0  -6,419113E-5  9,984581E-5
-4096,552  3,859315E-10  0  -0,0001107857  -1,109717E-5
-4153,064  4,10116E-10  0  4,356059E-6  -0,0001162774
-4211,157  1,109304E-10  0  2,995227E-6  -6,128958E-5
-4270,898  3,149472E-10  0  -0,0001025885  2,17151E-5
-4332,358  9,161952E-11  0  -5,363237E-5  -2,037305E-5
-4395,614  4,063397E-10  0  0,0001023147  -6,752119E-5
-4460,743  1,897401E-10  0  8,388205E-5  1,379604E-5
-4527,832  2,859536E-10  0  -6,794117E-5  8,127124E-5
-4596,97  9,609491E-11  0  -6,16535E-5  -9,25817E-6
-4668,252  4,203143E-10  0  8,545803E-5  -0,0001011396
-4741,779  2,327572E-10  0  9,744971E-5  -2,28178E-5
-4817,659  1,50968E-10  0  -2,122424E-5  7,909675E-5
-4896,008  1,668637E-11  0  -2,276036E-5  1,573426E-5
-4976,947  2,837264E-10  0  7,74516E-5  -8,63313E-5
-5060,607  7,100113E-11  0  4,701375E-5  -3,563827E-5
-5147,128  1,933688E-10  0  -7,835029E-5  6,055405E-5
-5236,658  7,875524E-11  0  -6,012473E-5  2,277641E-5
-5329,359  1,095826E-10  0  6,06161E-5  -4,778038E-5
-5425,4  3,115208E-11  0  3,984916E-5  1,29292E-5
-5524,967  2,61922E-10  0  -8,2841E-5  9,187357E-5
-5628,257  7,432872E-11  0  -6,27575E-5  2,383728E-5
-5735,482  1,355742E-10  0  6,117123E-5  -6,924192E-5
-5846,872  3,116163E-11  0  4,35786E-5  -1,182939E-5
-5962,674  1,741974E-10  0  -7,814987E-5  7,580903E-5
-6083,156  5,09681E-11  0  -5,893541E-5  1,169022E-5
-6208,608  1,622803E-10  0  6,497439E-5  -8,804277E-5
-6339,343  4,936039E-11  0  4,872672E-5  -3,771676E-5
-6475,702  9,907628E-11  0  -7,198766E-5  5,263269E-5
