-250,88  5,679081E-5
-250,635  5,851664E-5
-250,39  6,03075E-5
-250,145  6,216656E-5
-249,9  6,409349E-5
-249,655  6,608513E-5
-249,41  6,813812E-5
-249,165  7,025202E-5
-248,92  7,243121E-5
-248,675  7,468417E-5
-248,43  7,702007E-5
-248,185  7,944412E-5
-247,94  8,195357E-5
-247,695  8,453656E-5
-247,45  8,717462E-5
-247,205  8,984823E-5
-246,96  9,254314E-5
-246,715  9,525493E-5
-246,47  9,798958E-5
-246,225  0,0001007594
-245,98  0,000103576
-245,735  0,0001064425
-245,49  0,0001093492
-245,245  0,0001122722
-245  0,0001151782
-244,755  0,0001180302
-244,51  0,0001207939
-244,265  0,0001234413
-244,02  0,0001259507
-243,775  0,0001283035
-243,53  0,000130481
-243,285  0,0001324617
-243,04  0,0001342212
-242,795  0,0001357355
-242,55  0,0001369862
-242,305  0,0001379647
-242,06  0,000138676
-241,815  0,0001391387
-241,57  0,0001393815
-241,325  0,0001394372
-241,08  0,0001393362
-240,835  0,0001390999
-240,59  0,0001387391
-240,345  0,0001382557
-240,1  0,0001376489
-239,855  0,0001369241
-239,61  0,0001361011
-239,365  0,0001352185
-239,12  0,0001343326
-238,875  0,0001335104
-238,63  0,0001328186
-238,385  0,0001323119
-238,14  0,0001320247
-237,895  0,0001319688
-237,65  0,0001321374
-237,405  0,0001325146
-237,16  0,0001330855
-236,915  0,0001338441
-236,67  0,0001347955
-236,425  0,0001359525
-236,18  0,0001373279
-235,935  0,0001389261
-235,69  0,0001407371
-235,445  0,0001427357
-235,2  0,0001448863
-234,955  0,0001471502
-234,71  0,0001494954
-234,465  0,0001519019
-234,22  0,0001543645
-233,975  0,0001568896
-233,73  0,0001594894
-233,485  0,0001621745
-233,24  0,0001649482
-232,995  0,000167804
-232,75  0,0001707268
-232,505  0,0001736974
-232,26  0,0001766985
-232,015  0,0001797205
-231,77  0,0001827647
-231,525  0,000185843
-231,28  0,0001889742
-231,035  0,0001921778
-230,79  0,0001954672
-230,545  0,0001988466
-230,3  0,0002023108
-230,055  0,0002058511
-229,81  0,0002094636
-229,565  0,0002131581
-229,32  0,0002169619
-229,075  0,0002209181
-228,83  0,0002250747
-228,585  0,0002294717
-228,34  0,0002341274
-228,095  0,0002390316
-227,85  0,0002441483
-227,605  0,0002494278
-227,36  0,0002548236
-227,115  0,0002603076
-226,87  0,0002658783
-226,625  0,0002715576
-226,38  0,0002773778
-226,135  0,0002833633
-225,89  0,0002895142
-225,645  0,0002957977
-225,4  0,0003021503
-225,155  0,0003084902
-224,91  0,0003147364
-224,665  0,0003208261
-224,42  0,0003267278
-224,175  0,0003324434
-223,93  0,000338002
-223,685  0,0003434454
-223,44  0,0003488112
-223,195  0,0003541195
-222,95  0,0003593654
-222,705  0,0003645206
-222,46  0,0003695431
-222,215  0,0003743922
-221,97  0,0003790423
-221,725  0,000383493
-221,48  0,000387771
-221,235  0,0003919233
-220,99  0,0003960053
-220,745  0,0004000669
-220,5  0,0004041413
-220,255  0,0004082403
-220,01  0,0004123563
-219,765  0,000416469
-219,52  0,0004205537
-219,275  0,0004245888
-219,03  0,0004285605
-218,785  0,0004324632
-218,54  0,0004362976
-218,295  0,0004400676
-218,05  0,0004437756
-217,805  0,000447419
-217,56  0,0004509869
-217,315  0,0004544586
-217,07  0,0004578048
-216,825  0,0004609903
-216,58  0,0004639789
-216,335  0,0004667377
-216,09  0,0004692405
-215,845  0,0004714672
-215,6  0,0004734024
-215,355  0,0004750313
-215,11  0,000476338
-214,865  0,0004773042
-214,62  0,000477912
-214,375  0,0004781471
-214,13  0,000478003
-213,885  0,0004774833
-213,64  0,0004766016
-213,395  0,0004753799
-213,15  0,0004738448
-212,905  0,0004720243
-212,66  0,000469945
-212,415  0,0004676314
-212,17  0,0004651065
-211,925  0,0004623933
-211,68  0,0004595163
-211,435  0,0004565017
-211,19  0,0004533772
-210,945  0,00045017
-210,7  0,0004469065
-210,455  0,0004436111
-210,21  0,0004403062
-209,965  0,0004370109
-209,72  0,0004337396
-209,475  0,000430499
-209,23  0,000427286
-208,985  0,0004240867
-208,74  0,0004208794
-208,495  0,0004176389
-208,25  0,0004143428
-208,005  0,0004109769
-207,76  0,0004075379
-207,515  0,0004040327
-207,27  0,0004004761
-207,025  0,0003968875
-206,78  0,0003932887
-206,535  0,0003897033
-206,29  0,0003861561
-206,045  0,0003826732
-205,8  0,0003792791
-205,555  0,0003759938
-205,31  0,0003728285
-205,065  0,0003697832
-204,82  0,0003668483
-204,575  0,0003640089
-204,33  0,0003612537
-204,085  0,000358583
-203,84  0,0003560139
-203,595  0,0003535807
-203,35  0,000351329
-203,105  0,000349305
-202,86  0,0003475456
-202,615  0,0003460706
-202,37  0,0003448808
-202,125  0,0003439626
-201,88  0,000343297
-201,635  0,0003428688
-201,39  0,0003426741
-201,145  0,0003427228
-200,9  0,0003430351
-200,655  0,0003436339
-200,41  0,0003445345
-200,165  0,0003457352
-199,92  0,0003472123
-199,675  0,0003489215
-199,43  0,0003508053
-199,185  0,0003528064
-198,94  0,0003548815
-198,695  0,0003570106
-198,45  0,0003591977
-198,205  0,0003614626
-197,96  0,0003638265
-197,715  0,000366296
-197,47  0,0003688559
-197,225  0,0003714701
-196,98  0,0003740944
-196,735  0,000376693
-196,49  0,0003792526
-196,245  0,0003817872
-196  0,0003843313
-195,755  0,000386924
-195,51  0,0003895923
-195,265  0,0003923396
-195,02  0,000395146
-194,775  0,0003979801
-194,53  0,0004008169
-194,285  0,0004036544
-194,04  0,0004065214
-193,795  0,0004094722
-193,55  0,0004125694
-193,305  0,0004158633
-193,06  0,0004193738
-192,815  0,0004230853
-192,57  0,0004269555
-192,325  0,0004309366
-192,08  0,0004349987
-191,835  0,0004391476
-191,59  0,0004434283
-191,345  0,0004479122
-191,1  0,0004526729
-190,855  0,0004577591
-190,61  0,0004631761
-190,365  0,0004688829
-190,12  0,0004748059
-189,875  0,0004808644
-189,63  0,0004869974
-189,385  0,0004931818
-189,14  0,0004994334
-188,895  0,000505793
-188,65  0,0005123014
-188,405  0,0005189748
-188,16  0,0005257911
-187,915  0,0005326917
-187,67  0,0005395978
-187,425  0,0005464346
-187,18  0,0005531528
-186,935  0,0005597393
-186,69  0,0005662138
-186,445  0,000572613
-186,2  0,0005789708
-185,955  0,000585301
-185,71  0,0005915909
-185,465  0,0005978056
-185,22  0,0006039006
-184,975  0,0006098376
-184,73  0,0006155963
-184,485  0,0006211782
-184,24  0,0006266033
-183,995  0,0006319
-183,75  0,0006370958
-183,505  0,0006422089
-183,26  0,0006472467
-183,015  0,0006522089
-182,77  0,0006570942
-182,525  0,0006619089
-182,28  0,0006666736
-182,035  0,0006714281
-181,79  0,0006762321
-181,545  0,0006811628
-181,3  0,0006863077
-181,055  0,0006917562
-180,81  0,0006975887
-180,565  0,0007038683
