Data from 1.5bar_Subt2__0__19-32-53-334.txt Node

Date: Thu Jan 06 19:32:53 CET 2022
User: fsatto
Spectrometer: OFX01956
Trigger mode: 0
Integration Time (sec): 1,000000E-3
Scans to average: 10
Nonlinearity correction enabled: false
Boxcar width: 0
Storing dark spectrum: false
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2136
>>>>>Begin Spectral Data<<<<<
158,236	-4,5
158,705	2,6
159,174	-3
159,643	-5,1
160,112	-15,7
160,582	-2,1
161,051	1,8
161,52	0,8
161,988	-12,6
162,457	-9,4
162,926	-13,2
163,395	-3
163,864	-11,8
164,332	-7,3
164,801	-4,4
165,269	-1,7
165,738	-6,9
166,206	-5,3
166,675	-9,8
167,143	-4,7
167,612	-14,9
168,08	-6,8
168,548	-7,9
169,016	-6,8
169,484	-8,3
169,952	-9,1
170,42	-2,5
170,888	-10,9
171,356	-23,4
171,824	-7,6
172,292	-19
172,759	-0,5
173,227	-4,8
173,695	-9,9
174,162	-11,2
174,63	-9,9
175,097	-9,8
175,565	-9,6
176,032	-12,6
176,499	-19,1
176,967	-5,9
177,434	-10,9
177,901	-4,8
178,368	-7,3
178,835	-7,2
179,302	-12,7
179,769	-13,2
180,236	-9,2
180,703	-4,8
181,17	-4,4
181,637	-10,1
182,103	-9,7
182,57	-7
183,036	-9,3
183,503	-5,5
183,97	-4,6
184,436	-4,7
184,902	-9,2
185,369	-0,9
185,835	-2,3
186,301	-2,6
186,767	-9,6
187,234	-12,3
187,7	-18,5
188,166	-8,8
188,632	-8,6
189,098	-6
189,563	-15,2
190,029	-12,1
190,495	-10,2
190,961	-5,8
191,426	-11,4
191,892	-7,8
192,358	-0,9
192,823	0
193,289	-10,4
193,754	-3,4
194,219	-12,7
194,685	-5,4
195,15	-11,9
195,615	-11,5
196,08	-11,3
196,545	-5,8
197,01	-11,5
197,475	-14,1
197,94	-15,5
198,405	-14,9
198,87	-10,6
199,335	-10,2
199,8	-6,2
200,264	697,9
200,729	736,1
201,193	741,6
201,658	750,8
202,122	788,8
202,587	833
203,051	830,9
203,516	820,5
203,98	867,5
204,444	931,5
204,908	977,9
205,372	1001,8
205,836	1042,4
206,3	1058,1
206,764	1137,2
207,228	1156,2
207,692	1155,7
208,156	1199,8
208,62	1349,8
209,083	1493,2
209,547	1610,6
210,011	1740,9
210,474	1896,8
210,938	2129,5
211,401	2271,6
211,864	2523,7
212,328	2730,6
212,791	2988,4
213,254	3383,4
213,717	3719,8
214,181	4088
214,644	4471,4
215,107	4768,9
215,57	4810,4
216,033	5220,3
216,495	5777,2
216,958	6153,5
217,421	6361,4
217,884	6636
218,346	6874,2
218,809	7052,5
219,272	7651,1
219,734	8375
220,196	8651,6
220,659	9238,2
221,121	9562,4
221,584	9570,7
222,046	9355
222,508	9234,5
222,97	9365,7
223,432	10020,4
223,894	10986,3
224,356	11363,4
224,818	11636,4
225,28	12077,1
225,742	12814,6
226,204	13992,5
226,665	14753,9
227,127	14602,7
227,589	13983,5
228,05	14428,2
228,512	14951,4
228,973	15437,6
229,435	15767,3
229,896	15731,4
230,357	15544,1
230,818	15187,6
231,28	15275,9
231,741	15736
232,202	15544,8
232,663	14932,7
233,124	14247
233,585	14424,5
234,046	14900,8
234,507	15396,3
234,967	15199
235,428	14392,7
235,889	14152,3
236,349	14713
236,81	15552,3
237,271	16057,5
237,731	16170,9
238,191	15786,8
238,652	14927,6
239,112	14510,8
239,572	15308
240,033	16041,2
240,493	15442,2
240,953	13968,2
241,413	12771,3
241,873	12600,7
242,333	12361,5
242,793	12041,3
243,253	12218,4
243,712	12671
244,172	12825,9
244,632	13161,4
245,092	13482,1
245,551	14304,5
246,011	15343,6
246,47	15848,6
246,93	15733,8
247,389	16355,2
247,848	18056,5
248,308	19882,3
248,767	21101,6
249,226	20700,3
249,685	19161,6
250,144	18400,4
250,603	19124,5
251,062	20151,5
251,521	21053,6
251,98	22041,3
252,439	22383,4
252,897	22248,1
253,356	23032,1
253,815	23729,6
254,273	23447,6
254,732	23394,1
255,19	23406,6
255,649	22746,4
256,107	21439,5
256,566	20852,4
257,024	20575,1
257,482	20158,4
257,94	19824,4
258,398	20378,9
258,856	20531,7
259,315	20340,3
259,772	20269,2
260,23	21391,1
260,688	21621,1
261,146	21429
261,604	21457,7
262,062	21715,1
262,519	21139,3
262,977	20100,4
263,434	19851,5
263,892	20073,6
264,349	19376
264,807	18208,2
265,264	17243,4
265,721	16899,2
266,179	16881,8
266,636	16131
267,093	14691,7
267,55	13919,5
268,007	13938,7
268,464	13813,6
268,921	13551,3
269,378	13810,7
269,835	13699,9
270,291	13343,7
270,748	12860,2
271,205	12941,8
271,661	13365,8
272,118	13428,9
272,574	13047,6
273,031	12646,7
273,487	11884,2
273,944	11298,7
274,4	10803,5
274,856	10778,8
275,312	10527,8
275,768	9781,6
276,225	9109,2
276,681	8621,9
277,137	8249,5
277,593	8220,2
278,048	8212,2
278,504	7974,5
278,96	7602,9
279,416	7352,5
279,871	7187,2
280,327	7059,1
280,783	6887,7
281,238	6684
281,694	6672,6
282,149	6561,9
282,604	6525,1
283,06	6304,7
283,515	6112,4
283,97	6011
284,425	5992
284,88	6033
285,335	5943,1
285,79	5674
286,245	5308,6
286,7	5119,2
287,155	5004,8
287,61	5029,3
288,064	4874,1
288,519	4747,1
288,974	4556,3
289,428	4277,5
289,883	4098,4
290,337	4092
290,792	4036,9
291,246	3981,5
291,7	3919,5
292,155	3828,1
292,609	3730,6
293,063	3573,5
293,517	3483,7
293,971	3556,1
294,425	3462
