1154,098  3,711884E-7  0  0,0004605088  0,0008364853
1152,654  3,96259E-7  0  0,0003140085  0,0009339829
1151,214  4,270048E-7  0  0,0001621023  0,001008648
1149,778  4,58251E-7  0  1,205121E-5  0,001056919
1148,345  4,849852E-7  0  -0,0001291372  0,001078323
1146,916  5,036655E-7  0  -0,0002558986  0,00107534
1145,491  5,135257E-7  0  -0,0003645204  0,001053466
1144,069  5,160754E-7  0  -0,0004525427  0,001020265
1142,65  5,134247E-7  0  -0,0005185034  0,0009835755
1141,235  5,076979E-7  0  -0,0005622819  0,0009504159
1139,824  5,012427E-7  0  -0,0005847904  0,0009268174
1138,416  4,961817E-7  0  -0,0005869113  0,0009173026
1137,011  4,939464E-7  0  -0,0005691011  0,0009240017
1135,61  4,95835E-7  0  -0,0005319343  0,0009467271
1134,213  5,037278E-7  0  -0,0004763084  0,0009839721
1132,819  5,198641E-7  0  -0,000403109  0,001033357
1131,428  5,461927E-7  0  -0,0003135843  0,001091387
1130,04  5,841372E-7  0  -0,0002105062  0,001153841
1128,657  6,343818E-7  0  -9,865817E-5  0,001216798
1127,276  6,958767E-7  0  1,569362E-5  0,001276933
1125,899  7,644984E-7  0  0,0001251645  0,001331007
1124,525  8,328695E-7  0  0,0002213034  0,001375994
1123,155  8,919862E-7  0  0,0002955632  0,001409885
1121,787  9,335109E-7  0  0,0003411956  0,001431796
1120,424  9,515956E-7  0  0,0003545331  0,001441306
1119,063  9,445428E-7  0  0,0003352154  0,00143842
1117,706  9,160002E-7  0  0,0002864292  0,001424195
1116,352  8,737143E-7  0  0,0002152162  0,001400628
1115,001  8,258302E-7  0  0,0001315903  0,001369715
1113,654  7,779413E-7  0  4,64584E-5  0,001333105
1112,31  7,325069E-7  0  -3,011876E-5  0,001292463
1110,969  6,890754E-7  0  -8,986926E-5  0,001249162
1109,631  6,448183E-7  0  -0,000127454  0,001203315
1108,297  5,963609E-7  0  -0,0001417553  0,001153615
1106,966  5,417885E-7  0  -0,0001359324  0,001098124
1105,638  4,807884E-7  0  -0,0001161191  0,001034608
1104,313  4,136493E-7  0  -9,017253E-5  0,0009602989
1102,991  3,41225E-7  0  -6,683062E-5  0,0008724215
1101,673  2,658615E-7  0  -5,426648E-5  0,0007694979
1100,357  1,918207E-7  0  -5,816356E-5  0,0006518745
1099,045  1,249133E-7  0  -8,07961E-5  0,0005212778
1097,736  7,186418E-8  0  -0,0001213604  0,0003807573
1096,43  3,89547E-8  0  -0,0001762909  0,0002351278
1095,127  2,960767E-8  0  -0,0002393486  9,0539E-5
1093,827  4,249222E-8  0  -0,0003025975  -4,684398E-5
1092,531  7,164587E-8  0  -0,0003581902  -0,0001715013
1091,237  1,079462E-7  0  -0,0003994921  -0,0002783233
1089,947  1,410996E-7  0  -0,0004212805  -0,0003628434
1088,659  1,622935E-7  0  -0,0004202117  -0,0004220766
1087,375  1,665612E-7  0  -0,0003956427  -0,0004546018
1086,093  1,533719E-7  0  -0,000349561  -0,0004598425
1084,815  1,260003E-7  0  -0,0002855988  -0,0004380546
1083,539  9,076511E-8  0  -0,0002085163  -0,0003912104
1082,267  5,555732E-8  0  -0,0001243599  -0,0003233341
1080,997  2,748179E-8  0  -4,008052E-5  -0,000240038
1079,731  1,091522E-8  0  3,745182E-5  -0,0001485435
1078,467  6,407877E-9  0  0,0001017604  -5,822006E-5
1077,207  1,019347E-8  0  0,0001463557  1,984168E-5
1075,949  1,533832E-8  0  0,0001649668  7,438294E-5
1074,695  1,517684E-8  0  0,0001525543  9,515143E-5
1073,443  7,802702E-9  0  0,0001058237  7,336469E-5
1072,194  2,553063E-10  0  2,311145E-5  2,671038E-6
1070,948  1,101988E-8  0  -9,515195E-5  -0,0001193945
1069,705  6,866892E-8  0  -0,0002454384  -0,0002909802
1068,465  2,061554E-7  0  -0,0004210021  -0,0005067458
1067,227  4,527178E-7  0  -0,0006128197  -0,0007585418
1065,993  8,251798E-7  0  -0,0008103228  -0,001035693
1064,761  1,321174E-6  0  -0,001001801  -0,001326164
1063,533  1,918639E-6  0  -0,001175658  -0,001618664
1062,307  2,582462E-6  0  -0,001322409  -0,001904151
1061,084  3,274167E-6  0  -0,001435886  -0,002176388
1059,863  3,962354E-6  0  -0,001513353  -0,00243274
1058,646  4,633548E-6  0  -0,001555693  -0,0026752
1057,431  5,298627E-6  0  -0,001567642  -0,002910134
1056,219  5,990209E-6  0  -0,001556828  -0,003146505
1055,01  6,75482E-6  0  -0,001531712  -0,003394019
1053,804  7,645332E-6  0  -0,001500043  -0,003661618
1052,6  8,711382E-6  0  -0,001468194  -0,003955315
1051,399  9,9848E-6  0  -0,001440356  -0,004275624
1050,201  1,146529E-5  0  -0,001417677  -0,004616357
1049,006  1,311242E-5  0  -0,001398711  -0,004965255
1047,813  1,484231E-5  0  -0,001381106  -0,005305174
1046,623  1,65289E-5  0  -0,001362924  -0,005615491
1045,436  1,801787E-5  0  -0,001343239  -0,005874732
1044,251  1,915641E-5  0  -0,001323054  -0,006064131
1043,07  1,982549E-5  0  -0,001306424  -0,006170312
1041,89  1,996258E-5  0  -0,001300391  -0,00618652
1040,714  1,957585E-5  0  -0,001313722  -0,006113551
1039,54  1,874958E-5  0  -0,001355958  -0,005960528
1038,369  1,763293E-5  0  -0,001437017  -0,005744297
1037,2  1,641388E-5  0  -0,001566156  -0,005487414
1036,034  1,529299E-5  0  -0,001750287  -0,00521623
1034,871  1,446433E-5  0  -0,001993041  -0,00495941
1033,71  1,410024E-5  0  -0,002294629  -0,00474564
1032,552  1,433869E-5  0  -0,002651135  -0,00460049
1031,396  1,527612E-5  0  -0,003053171  -0,004543918
1030,243  1,696358E-5  0  -0,003485339  -0,004588855
1029,093  1,939781E-5  0  -0,003926739  -0,004739832
1027,945  2,250243E-5  0  -0,004351301  -0,004991696
1026,8  2,610732E-5  0  -0,004728058  -0,005329907
1025,657  2,994307E-5  0  -0,005022802  -0,005732585
1024,517  3,365944E-5  0  -0,005201178  -0,006172814
1023,379  3,686592E-5  0  -0,005231669  -0,006620728
1022,244  3,919676E-5  0  -0,005088034  -0,0070463
1021,111  4,039715E-5  0  -0,004752163  -0,007422689
1019,981  4,04003E-5  0  -0,004216992  -0,007728554
1018,854  3,936029E-5  0  -0,003487787  -0,007949
1017,729  3,76366E-5  0  -0,00258153  -0,008076392
1016,606  3,574017E-5  0  -0,001525796  -0,008111184
1015,486  3,423929E-5  0  -0,0003573862  -0,008061469
1014,368  3,364031E-5  0  0,0008803756  -0,007941037
1013,253  3,42853E-5  0  0,00214148  -0,007767248
1012,14  3,629268E-5  0  0,003380504  -0,007558982
1011,03  3,953578E-5  0  0,004554958  -0,007333595
1009,922  4,366204E-5  0  0,005627845  -0,007103152
1008,816  4,816067E-5  0  0,006570323  -0,006871818
1007,713  5,245667E-5  0  0,007362963  -0,00663518
1006,612  5,599761E-5  0  0,007995476  -0,006380719
1005,514  5,832916E-5  0  0,008466369  -0,006089417
1004,418  5,916615E-5  0  0,008782837  -0,005739555
1003,325  5,844196E-5  0  0,008959755  -0,005312203
1002,234  5,631755E-5  0  0,009017866  -0,004796205
1001,145  5,315746E-5  0  0,008982681  -0,004191564
1000,059  4,947926E-5  0  0,008884142  -0,003511767
998,9745  4,586716E-5  0  0,008755546  -0,002784848
997,8929  4,286151E-5  0  0,008631459  -0,002051945
996,8135  4,087001E-5  0  0,008545971  -0,001363598
995,7365  4,013576E-5  0  0,008531535  -0,000775618
994,6619  4,076426E-5  0  0,008617304  -0,0003452253
993,5895  4,280739E-5  0  0,008827263  -0,0001265853
992,5195  4,640191E-5  0  0,009179954  -0,0001658406
991,4517  5,193296E-5  0  0,009690069  -0,0004970465
990,3863  6,017042E-5  0  0,0103704  -0,00113928
989,3231  7,233972E-5  0  0,01123348  -0,002093896
988,2622  9,011022E-5  0  0,01229362  -0,003342188
987,2036  0,0001154944  1,465438  0,01356845  -0,004845189
986,1473  0,0001506591  1,398825  0,01507813  -0,006546103
985,0932  0,0001976733  1,346984  0,01684148  -0,008374166
984,0413  0,0002582406  1,310863  0,01887107  -0,01024946
982,9917  0,0003334613  1,289512  0,02116793  -0,01208917
981,9444  0,0004236197  1,280969  0,02371595  -0,01381439
980,8993  0,0005279591  1,282878  0,0264772  -0,01535518
979,8564  0,0006444682  1,292911  0,0293906  -0,01665301
978,8157  0,0007697532  1,309004  0,03237489  -0,01766179
977,7772  0,0008990529  1,329478  0,03533439  -0,01834784
976,7409  0,001026446  1,353085  0,03816662  -0,01868822
975,7068  0,001145341  1,379039  0,04077205  -0,0186682
974,6749  0,001249283  1,406992  0,04306464  -0,01827979
973,6452  0,001332877  1,436962  0,04498037  -0,01752154
972,6177  0,001392615  1,469261  0,04648259  -0,01639845
971,5923  0,001427451  1,504431  0,04756485  -0,0149215
970,5691  0,00143905  1,543162  0,04825114  -0,01310773
969,548  0,001431596  1,58617  0,04859244  -0,0109809
968,5291  0,001411173  1,634056  0,04865997  -0,008571405
967,5123  0,001384952  1,687133  0,04853736  -0,005915837
966,4977  0,001360363  1,745215  0,04831307  -0,003057546
965,4851  0,001344309  1,807406  0,04807279  -4,857876E-5
964,4747  0,001342467  1,871985  0,04789266  0,003048583
963,4664  0,001358813  1,936488  0,04783539  0,006160036
962,4603  0,001395404  1,997973  0,04794988  0,009199662
961,4562  0,001452335  2,053414  0,0482726  0,01206913
960,4542  0,001527896  2,100089  0,04882999  0,01466048
959,4543  0,001619064  2,13585  0,04964226  0,01686146
958,4565  0,001722303  2,159196  0,05072776  0,0185619
957,4607  0,001834539  2,169218  0,05210574  0,01966046
956,467  0,001954196  2,16553  0,05379676  0,02007218
955,4754  0,002082182  2,148253  0,05582222  0,0197361
954,4858  0,002222643  2,118054  0,05820338  0,01862088
953,4983  0,002383202  2,076238  0,06095921  0,01672805
952,5128  0,002574604  2,024836  0,06410315  0,01409392
951,5294  0,002809799  1,966602  0,06764065  0,0107899
950,548  0,003102532  1,904813  0,07156747  0,006920276
949,5686  0,003465494  1,842899  0,07586737  0,002617132
948,5912  0,0039082  1,784005  0,08050863  -0,001965721
947,6158  0,004434929  1,730632  0,08544071  -0,006659383
946,6425  0,005042969  1,684456  0,09059165  -0,01128768
945,6711  0,005721317  1,646336  0,09586561  -0,01567543
944,7017  0,006450002  1,616478  0,1011415  -0,01965495
943,7343  0,007200395  1,594652  0,1062755  -0,02307039
942,7689  0,007936764  1,580417  0,1111077  -0,02578083
941,8055  0,008619123  1,573288  0,1154728  -0,02766264
940,844  0,00920719  1,572877  0,1192135  -0,02861055
939,8845  0,009665303  1,578983  0,1221952  -0,02853817
938,9269  0,009967708  1,59164  0,1243222  -0,02738036
937,9713  0,01010313  1,611113  0,125549  -0,02509783
937,0177  0,01007753  1,637853  0,125887  -0,02168244
936,0659  0,0099145  1,672406  0,1254056  -0,01716244
935,1161  0,009653067  1,715249  0,1242267  -0,01160747
934,1683  0,00934295  1,766551  0,1225154  -0,005132186
933,2223  0,009038021  1,82588  0,1204647  0,002103942
932,2783  0,008789326  1,891932  0,11828  0,009901233
931,3362  0,008638907  1,962374  0,1161643  0,01802695
930,3959  0,008615167  2,033936  0,114305  0,02622406
929,4576  0,008730332  2,10282  0,1128626  0,0342216
928,5212  0,008980399  2,165297  0,1119643  0,0417454
927,5866  0,009347309  2,218251  0,1117018  0,04852701
926,6539  0,009802705  2,259455  0,1121334  0,05431033
925,7231  0,01031282  2,287573  0,1132885  0,05885779
924,7942  0,01084431  2,301949  0,1151757  0,06195701
923,8671  0,01137051  2,302363  0,1177925  0,06342755
922,9419  0,01187746  2,288837  0,1211342  0,06312846
922,0186  0,01236913  2,261585  0,1252001  0,06096848
921,0971  0,01287102  2,221119  0,1299963  0,05691854
920,1774  0,01343108  2,168469  0,1355348  0,05102373
919,2595  0,01411675  2,105457  0,1418279  0,04341307
918,3435  0,01500754  2,034894  0,1488778  0,03430594
917,4293  0,01618381  1,96051  0,156666  0,02401337
916,517  0,01771264  1,886559  0,1651426  0,01293102
915,6064  0,01963332  1,81716  0,1742182  0,001523369
914,6977  0,02194488  1,755683  0,1837572  -0,009699181
913,7907  0,02459887  1,704399  0,1935775  -0,0202084
912,8856  0,02749932  1,66447  0,2034542  -0,0294905
911,9822  0,03051026  1,636163  0,213127  -0,03707937
911,0806  0,03346948  1,619149  0,2223105  -0,04258602
910,1808  0,03620654  1,612774  0,2307069  -0,04572086
909,2828  0,03856185  1,616263  0,2380207  -0,04630785
908,3866  0,0404035  1,62884  0,2439743  -0,04428925
907,4921  0,04163963  1,649808  0,2483218  -0,03971973
906,5994  0,04222566  1,678597  0,2508638  -0,03275133
905,7084  0,04216696  1,714787  0,2514621  -0,02361323
904,8192  0,04151737  1,75811  0,2500526  -0,01259005
903,9317  0,04037435  1,808415  0,2466566  -5,130341E-7
903,046  0,03887168  1,865609  0,2413905  0,0138207
902,162  0,03716975  1,929519  0,2344721  0,0285348
901,2797  0,03544268  1,999682  0,2262218  0,04380394
900,3992  0,03386241  2,075075  0,2170558  0,05929167
899,5203  0,03258157  2,153848  0,2074715  0,07466072
898,6432  0,0317172  2,233191  0,1980252  0,08956891
897,7678  0,03133813  2,309432  0,1893005  0,103665
896,8941  0,03145886  2,378473  0,1818706  0,1165877
896,0221  0,03204242  2,436399  0,1762583  0,1279686
895,1518  0,03301184  2,480043  0,1728991  0,1374383
894,2832  0,03426773  2,507295  0,1721091  0,1446358
893,4163  0,03570899  2,517126  0,1740623  0,1492213
892,551  0,03725303  2,509425  0,1787807  0,1508935
891,6874  0,03885219  2,484786  0,1861385  0,1494084
890,8255  0,04050386  2,444331  0,1958786  0,1445999
889,9653  0,04225387  2,389636  0,2076394  0,136401
889,1067  0,04419334  2,322726  0,2209895  0,1248657
888,2498  0,04644919  2,246096  0,2354675  0,1101867
887,3945  0,04916815  2,162716  0,2506195  0,09270621
886,5408  0,05249516  2,075948  0,2660308  0,0729195
885,6888  0,05654792  1,989348  0,2813495  0,05146776
884,8385  0,06139028  1,90638  0,2962995  0,02911963
883,9897  0,06700825  1,83011  0,3106802  0,006740816
883,1426  0,07329384  1,762988  0,324355  -0,01474516
882,2972  0,08004167  1,706756  0,3372323  -0,03440202
881,4533  0,08696156  1,662486  0,349242  -0,05133001
880,6111  0,09370648  1,6307  0,360312  -0,06471605
879,7704  0,09991249  1,611513  0,3703476  -0,07388025
878,9314  0,1052444  1,604763  0,3792187  -0,07831497
878,0939  0,1094395  1,610117  0,3867559  -0,07771497
877,2581  0,1123395  1,627119  0,3927546  -0,07199596
876,4238  0,1139063  1,655217  0,3969866  -0,06129847
875,5912  0,1142171  1,693757  0,3992181  -0,04597603
874,7601  0,1134452  1,741963  0,3992332  -0,0265698
873,9306  0,1118275  1,798912  0,3968588  -0,003772307
873,1026  0,1096301  1,863509  0,3919902  0,02161744
872,2762  0,1071168  1,934476  0,3846159  0,04874301
871,4514  0,1045272  2,010348  0,3748409  0,07673782
870,6282  0,1020641  2,089465  0,3629033  0,1047664
869,8065  0,09988684  2,169982  0,3491826  0,1320577
868,9863  0,09810995  2,249873  0,3341988  0,1579294
868,1677  0,09680319  2,326958  0,3185989  0,1818009
867,3507  0,0959914  2,398948  0,3031311  0,2031967
866,5351  0,0956562  2,463542  0,2886056  0,2217424
865,7211  0,09574309  2,518541  0,2758457  0,2371569
864,9087  0,09617593  2,561987  0,2656346  0,2492416
864,0977  0,09687816  2,592282  0,2586603  0,2578686
863,2883  0,09779824  2,608298  0,2554635  0,2629725
862,4804  0,09893425  2,609457  0,256396  0,2645453
861,674  0,1003502  2,595802  0,2615933  0,2626353
860,8691  0,1021779  2,56805  0,2709636  0,2573489
860,0657  0,1046014  2,527623  0,2841926  0,2488572
859,2638  0,1078271  2,476617  0,3007671  0,2374041
858,4634  0,1120434  2,417689  0,3200129  0,2233165
857,6645  0,1173775  2,353836  0,3411414  0,2070117
856,8671  0,1238575  2,288123  0,363301  0,1890027
856,0712  0,1313865  2,223408  0,3856272  0,1698988
855,2767  0,139732  2,162149  0,4072881  0,1503967
854,4837  0,1485318  2,106311  0,4275196  0,1312618
853,6922  0,1573155  2,057374  0,4456473  0,1132975
852,9021  0,1655405  2,016395  0,4610993  0,09730578
852,1135  0,1726403  1,984104  0,4734081  0,08403819
851,3264  0,1780801  1,960978  0,4822079  0,07414262
850,5407  0,1814129  1,947312  0,4872263  0,06811227
849,7565  0,1823309  1,94326  0,4882796  0,06624318
848,9737  0,1807027  1,948861  0,4852702  0,06860501
848,1923  0,1765889  1,96405  0,4781887  0,07502888
847,4124  0,1702317  1,988654  0,4671182  0,08511567
846,6339  0,162022  2,022374  0,4522408  0,0982642
845,8569  0,1524491  2,064759  0,4338459  0,113715
845,0813  0,1420412  2,115164  0,4123339  0,1306047
844,307  0,1313074  2,172698  0,3882157  0,148026
843,5343  0,1206902  2,236174  0,3621061  0,1650877
842,7629  0,1105335  2,304066  0,3347122  0,1809678
841,9929  0,1010678  2,374476  0,3068121  0,1949554
841,2244  0,09241027  2,445143  0,279227  0,2064795
840,4572  0,08457877  2,513497  0,2527869  0,2151242
839,6914  0,07751555  2,576746  0,2282924  0,2206289
838,9271  0,07111585  2,631996  0,2064738  0,2228749
838,1641  0,06525861  2,676376  0,1879506  0,2218622
837,4025  0,05983632  2,707133  0,1731972  0,2176813
836,6423  0,05478011  2,721702  0,1625183  0,2104822
835,8835  0,05007665  2,717754  0,1560365  0,2004463
835,126  0,04577559  2,693272  0,1536925  0,1877652
834,3699  0,04198715  2,646741  0,1552598  0,1726299
833,6152  0,03887068  2,577523  0,1603716  0,1552294
832,8619  0,03661607  2,486454  0,1685552  0,1357578
832,1099  0,03542144  2,376521  0,1792692  0,1144271
831,3593  0,03546983  2,253195  0,1919416  0,09148525
830,61  0,03690714  2,123876  0,2060057  0,06723156
829,862  0,03982265  1,99641  0,2209304  0,0420297
829,1155  0,04423306  1,877372  0,2362433  0,01631611
828,3702  0,05007125  1,771079  0,2515477  -0,009396661
827,6263  0,05718026  1,679604  0,2665316  -0,03452387
826,8838  0,06531321  1,603413  0,2809692  -0,05842041
826,1425  0,07414  1,54209  0,294712  -0,08039961
825,4026  0,08326198  1,494874  0,3076711  -0,0997588
