-7.105427357601002007e-18 2.159000584898302137e+24
1.449783608713062229e-05 2.159003471760930116e+24
7.600552165782659684e-05 2.159014975905680310e+24
1.697141683400218352e-04 2.159032336982840311e+24
5.162223086912049678e-04 2.159086150421824320e+24
7.551655787318126058e-04 2.159116555882646196e+24
8.018523443030716553e-04 2.159121725517833540e+24
9.128885949770122570e-04 2.159133721602309279e+24
9.806092129306662793e-04 2.159140683084215188e+24
1.056604074672676946e-03 2.159147890964384442e+24
1.272068677503796234e-03 2.159167016730623497e+24
1.441010216565359776e-03 2.159179692521532059e+24
1.806838974240186201e-03 2.159203276937473624e+24
1.862883325091253470e-03 2.159206183592562348e+24
1.907309487917046870e-03 2.159208611486841818e+24
1.977078859087420294e-03 2.159212110835093518e+24
2.015348048001676991e-03 2.159214119008234572e+24
2.063261819753399971e-03 2.159216272681835610e+24
2.206748883330078483e-03 2.159222623695638687e+24
2.442036960266158116e-03 2.159231480124757412e+24
2.795516898101425320e-03 2.159242375740905168e+24
3.303052845951974601e-03 2.159253146701637964e+24
3.513169920688511555e-03 2.159256223603387804e+24
3.613719899204802678e-03 2.159257530840485812e+24
3.726409298420677030e-03 2.159258791415413607e+24
3.888960448772195520e-03 2.159260492481934683e+24
4.152211593906073896e-03 2.159262249443614609e+24
4.327514597409909056e-03 2.159262897477494545e+24
4.410251530407826616e-03 2.159263102808950544e+24
4.461655360428757287e-03 2.159263322550192545e+24
4.825839810034878753e-03 2.159263588881527424e+24
5.153584677835354802e-03 2.159262870871355410e+24
5.193935029771815440e-03 2.159263192915016409e+24
5.216076587405019636e-03 2.159263091990826915e+24
5.594025567345376274e-03 2.159261427544481470e+24
5.614992633039918302e-03 2.159261421886919693e+24
5.757387824140174602e-03 2.159260333694770567e+24
6.333167316551041245e-03 2.159505123214156615e+24
6.729653298966695521e-03 2.159501932765432416e+24
6.926600822038601023e-03 2.159499940706450848e+24
7.010022507565530706e-03 2.159499133300278974e+24
7.433742355618221630e-03 2.159494907066200116e+24
7.727588079883446724e-03 2.159491707314972695e+24
7.879363226371630113e-03 2.159490044918380527e+24
8.006913813190422169e-03 2.159488854349081584e+24
8.236880815605595457e-03 2.159486176017203631e+24
8.287796980461784729e-03 2.159485300886376016e+24
8.333798908337236924e-03 2.159484938860017008e+24
8.626840935414265346e-03 2.159481459468219716e+24
9.062351286799818009e-03 2.159731525806530216e+24
9.100741452811740226e-03 2.159731095532404287e+24
9.151944586893166408e-03 2.159730427904372714e+24
9.982456826175821127e-03 2.159471728494869003e+24
1.016821641390457456e-02 2.159469461913959460e+24
1.017604942515644255e-02 2.159469360579055935e+24
1.111190690101184278e-02 2.159458229257540100e+24
1.112942643120095471e-02 2.159458240712865076e+24
1.138807236491887719e-02 2.159455140039117913e+24
1.164743287629668375e-02 2.159452276593528612e+24
1.167440164555698379e-02 2.159451822456457281e+24
1.177702164483698452e-02 2.159195167214870939e+24
1.178062844998216743e-02 2.159195118717437309e+24
1.178315340329508243e-02 2.159195142258296940e+24
1.226250217969354107e-02 2.159511544519524381e+24
1.260564643247948265e-02 2.159507847418026899e+24
1.280741867214901276e-02 2.159505642425169459e+24
1.284244429122601699e-02 2.159505136010875040e+24
1.315779601603038126e-02 2.159433645416685653e+24
1.324276761792032853e-02 2.159432885751861635e+24
1.414537043530663188e-02 2.159423408603171886e+24
1.426254276354360639e-02 2.159422216404152971e+24
1.436104755338257592e-02 2.159421318985983069e+24
1.437138380896016074e-02 2.159421216533365844e+24
1.440129676316703224e-02 2.159420984291194716e+24
1.549999999999999989e-02 2.159409797057469278e+24
1.623116769203344564e-02 2.159403067935999643e+24
1.678809008929871283e-02 2.159398499962356347e+24
1.722642241822275322e-02 2.159394649076701631e+24
1.775457784814657436e-02 2.159137055447285099e+24
1.780189655763032841e-02 2.159136781438399289e+24
1.807618017859740842e-02 2.159134750812771503e+24
1.842467076813377944e-02 2.159132083288746033e+24
1.868241857648065066e-02 2.159129944795420213e+24
1.915583846016722519e-02 2.159126222139184074e+24
1.936640821595250403e-02 2.159124637756141915e+24
1.945132611366876679e-02 2.159124326821293569e+24
1.959454884664408800e-02 2.159123305982020836e+24
1.991409789941002428e-02 2.159121153520237573e+24
2.001234013354851252e-02 2.159120117051356854e+24
2.027897073871883990e-02 2.159118416251761285e+24
2.050711136941042387e-02 2.159116719667662159e+24
2.050727524401349533e-02 2.159116722269849699e+24
2.050732264419134754e-02 2.159116721359585337e+24
2.050734200688342918e-02 2.159116718843856561e+24
2.090656899780573424e-02 2.159114178862379170e+24
2.126525984599452260e-02 2.159111678314175491e+24
2.149756692554062598e-02 2.159110122312784299e+24
2.151797600485589809e-02 2.159109919651561009e+24
2.210430805864888049e-02 2.159106299932570903e+24
2.228710094197682359e-02 2.159104956735486889e+24
2.250346508574463042e-02 2.159103744862667242e+24
2.271080647666175178e-02 2.159102550284153767e+24
2.283139724667543682e-02 2.159101854689979785e+24
2.293614882610750180e-02 2.159101199451605474e+24
2.301890902941496411e-02 2.159100731413211334e+24
2.304365248040535913e-02 2.159100549227554747e+24
2.319853260055189034e-02 2.159099475181128445e+24
2.337856497650472182e-02 2.159098222470317981e+24
2.345215275146755526e-02 2.159097808877051804e+24
2.359236091165657287e-02 2.159096928378283331e+24
2.389360011535915027e-02 2.159095204577297767e+24
2.401292244151340127e-02 2.159094453796502199e+24
2.409450353885776719e-02 2.159093873990941840e+24
2.414234949961918675e-02 2.159093754091217466e+24
2.424143133874294767e-02 2.159093268336058802e+24
2.437332662708887113e-02 2.159092222112780146e+24
