0.1	3.002284721317571e-9	4.0028088970265444e-5
0.2	3.5879758302141013e-9	4.7836840635135904e-5
0.3	3.7027729590864208e-9	4.9367378247176795e-5
0.4	4.097505595311823e-9	5.4630167938676715e-5
0.5	4.0811644079143075e-9	5.4412298361423404e-5
0.6	4.560861323915644e-9	6.0807877933249234e-5
0.7	5.0550108488526514e-9	6.739614752951605e-5
0.8	5.429468799809139e-9	7.238862411579118e-5
0.9	6.021126393500058e-9	8.02769241934067e-5
1.0	6.289756527143647e-9	8.38584468961772e-5
1.1	6.9858103695362884e-9	9.313861440779165e-5
1.2	7.536456400077246e-9	0.00010048012607226295
1.3	8.314936064610085e-9	0.0001108592393696146
1.4	9.216855979877355e-9	0.0001228841250695055
1.5	9.848284139316713e-9	0.00013130266790953218
1.6	1.0410419224250317e-8	0.00013879735788122655
1.7	1.144004152600382e-8	0.00015252484109017143
1.8	1.2447572825353319e-8	0.00016595779506829714
1.9	1.3169422817332362e-8	0.0001755818908434114
2.0	1.4157664792931342e-8	0.00018875766909074126
2.1	1.507056134873729e-8	0.00020092890131831391
2.2	1.634753188722993e-8	0.00021795416543275776
2.3	1.7220984434887356e-8	0.0002295995087410343
2.4	1.831692694742883e-8	0.00024421120898612445
2.5	1.9591150438215928e-8	0.0002611998479699862
2.6	2.0857484524559492e-8	0.00027808330113294767
2.7	2.2052415932146717e-8	0.00029401477503901847
2.8	2.3292397713644934e-8	0.0003105468849747932
2.9	2.443367276062723e-8	0.0003257629831668737
3.0	2.617159755673466e-8	0.0003489339395616054
3.1	2.732133172695497e-8	0.00036426281937468856
3.2	2.926620037168918e-8	0.0003901928634488348
3.3	3.055973788161199e-8	0.0004074390074157677
3.4	3.231355235070811e-8	0.0004308218135526587
3.5	3.3863861635168795e-8	0.0004514913781443164
3.6	3.5509713546340575e-8	0.00047343476887754226
3.7	3.747624592894104e-8	0.0004996536456598529
3.8	3.90824622507547e-8	0.0005210685932091427
3.9	4.1120407525707486e-8	0.0005482395854215477
4.0	4.261317032932292e-8	0.0005681419091053584
4.1	4.4489141498665506e-8	0.0005931533746532173
4.2	4.624605127194518e-8	0.0006165774490650221
4.3	4.8725094763305e-8	0.0006496294020422735
4.4	5.045383625421547e-8	0.0006726779216291785
4.5	5.2408780384197025e-8	0.0006987422975396878
4.6	5.4439362706737806e-8	0.0007258151228753342
4.7	5.6454787554902315e-8	0.0007526858605380195
4.8	5.8766508554943755e-8	0.0007835069792703831
4.9	6.109109603976709e-8	0.0008144996409593248
5.0	6.33491139825218e-8	0.0008446047613921982
5.1	6.542138759914391e-8	0.0008722334376825938
5.2	6.790360117597495e-8	0.0009053276559594635
5.3	6.995286843023118e-8	0.000932649598943346
5.4	7.26888287669059e-8	0.0009691269067076382
5.5	7.472230110593213e-8	0.0009962382633112166
5.6	7.727768938452325e-8	0.0010303080864171776
5.7	7.9653175606513e-8	0.0010619793576881168
5.8	8.224681296848994e-8	0.0010965591383280612
5.9	8.494906019634755e-8	0.0011325869646325792
6.0	8.754682455430982e-8	0.0011672217686223433
6.1	9.025561731433633e-8	0.0012033368635133996
6.2	9.280642962222147e-8	0.001237345677294947
6.3	9.553285136119832e-8	0.0012736958112990054
6.4	9.817153768874695e-8	0.00130887620919191
6.5	1.0091521976766701e-7	0.0013454564674137011
6.6	1.0368660349120749e-7	0.0013824060589927238
6.7	1.06311078243836e-7	0.0014173969804574696
6.8	1.0944564912870509e-7	0.0014591887803398205
6.9	1.1233035431495359e-7	0.0014976492351488721
7.0	1.1488205524779955e-7	0.001531669896560573
7.1	1.1770771796626406e-7	0.0015693431651521749
7.2	1.2026782640845224e-7	0.0016034759200404135
7.3	1.2370821315003613e-7	0.0016493450228628154
7.4	1.2687073283922635e-7	0.0016915094513696386
7.5	1.2969730616950098e-7	0.0017291948607319988
7.6	1.3257151256244426e-7	0.0017675153399319694
7.7	1.3619308287309783e-7	0.00181580008040898
7.8	1.381765147040658e-7	0.001842244269806713
7.9	1.420682887583273e-7	0.0018941315132083932
8.0	1.4504759482542985e-7	0.0019338532382922474
8.1	1.485104084049521e-7	0.0019800213478870397
8.2	1.5165522860269994e-7	0.002021949797170056
8.3	1.54845466762183e-7	0.002064483783363105
8.4	1.5799283205823278e-7	0.0021064461652776753
8.5	1.6131997132704264e-7	0.0021508053913439954
8.6	1.64845642996886e-7	0.0021978115591062925
8.7	1.6794511543739787e-7	0.002239135407483753
8.8	1.7112572004118315e-7	0.0022815409538849887
8.9	1.7438535048403455e-7	0.002325000115652758
9.0	1.7802241919462042e-7	0.0023734914892072317
9.1	1.8084715820623926e-7	0.002411152442437956
9.2	1.8440436993208914e-7	0.002458579119340839
9.3	1.8791057858960097e-7	0.002505325795661933
9.4	1.9084263290739892e-7	0.0025444175347848503
9.5	1.9474056577763675e-7	0.0025963868908629537
9.6	1.9849873502999614e-7	0.0026464928425505535
9.7	2.0132909774708237e-7	0.0026842287740740404
9.8	2.0516492074806522e-7	0.002735370047673884
9.9	2.0862082768078837e-7	0.0027814460741059444
10.0	2.1219826142760552e-7	0.0028291423619650063
