pressure;EnergyMeasurement1;EnergyMeasurement2;EnergyMeasurement3;EnergyMeasurement4;EnergyMeasurement5;EnergyMeasurement6
0;1.89;-6.8;-17;2.39;0.75;-6.83
0.1;45.2;50;59;;;
0.2;80.4;83;71.4;;;
0.3;90.9;84.4;86.6;;;
0.4;85.3;89.2;90;;;
0.5;74.3;90.9;87.7;75.3;;
0.6;76.4;64.1;86.9;;;
0.7;77.2;73.3;68.8;;;
0.8;58.9;60.9;58.6;;;
1;58.1;58.2;48.7;;;
1.2;29;38.4;44.7;;;
1.4;39;21.7;26.2;;;
1.6;27.4;31.4;40.1;;;
