pressure;EnergyMeasurement1;EnergyMeasurement2;EnergyMeasurement3;EnergyMeasurement4;EnergyMeasurement5;EnergyMeasurement6
0;-0.7;-3.5;0.1;-0.1;2.5;1.8
0.1;2.7;3.4;4.1;7.5;6.3;
0.2;22.4;16.3;9.7;13.3;19.6;
0.3;29.5;24;21.1;26.2;22.9;
0.4;25.3;29.7;30.3;35.4;35.6;
0.5;33.2;31.4;22.9;31.2;30.5;
0.6;30.2;23.7;28.7;33.5;36.8;
0.7;31.4;34.9;32.8;29.9;27.6;
0.8;30.7;31.9;27.1;26.7;30;
1;21.9;19.8;28.8;25.6;26.9;27.8
1.2;19;19.5;22.9;20.2;22.8;
1.4;15.9;18.6;13;17;13.6;
1.6;14.2;19.9;13.8;23;24.4;
