0.1	9.198768981623337e-9	6.132336645940336e-5	1.0218138180695596e-15	9.0e-5
0.2	1.005802875124343e-8	6.705160051349268e-5	9.82187789164806e-16	9.0e-5
0.3	1.0397329551736246e-8	6.931354092858048e-5	9.812474087673516e-16	9.0e-5
0.4	1.1539202204479143e-8	7.692580679524284e-5	9.47094901977366e-16	9.0e-5
0.5	1.2730182149685317e-8	8.486544521551216e-5	9.154212768221921e-16	9.0e-5
0.6	1.3555089189184799e-8	9.036466764182003e-5	9.143332393566794e-16	9.0e-5
0.7	1.4983502184987923e-8	9.988714763582799e-5	8.873953638784617e-16	9.0e-5
0.8	1.6589166564424693e-8	0.00011059126960559563	8.646335130613477e-16	9.0e-5
0.9	1.7310050167051888e-8	0.0001153970223565122	8.83562289942261e-16	9.0e-5
1.0	1.9230779361096016e-8	0.0001282015161394245	8.612397714884841e-16	0.003
1.1	2.0263793781655204e-8	0.00013508808128703844	8.807387959052104e-16	0.003
1.2	2.2848251898024117e-8	0.0001523173075547799	8.40217921740585e-16	0.003
1.3	2.5011648330353222e-8	0.00016673953649451258	3.484446296084087e-15	0.003
1.4	2.7033763347787565e-8	0.00018021991636761446	3.4426087899104954e-15	0.003
1.5	2.8791357229944025e-8	0.0001919368726187829	3.396413535619884e-15	0.003
1.6	3.15679096984082e-8	0.00021044669114532035	3.3610524903688635e-15	0.003
1.7	3.4158134406595426e-8	0.00022771436025514238	3.329931225614042e-15	0.003
1.8	3.59320013817206e-8	0.00023953980067908896	3.297600678282348e-15	0.003
1.9	3.9456481327487664e-8	0.0002630356592798286	3.2766068005584346e-15	0.003
2.0	4.204439166265518e-8	0.00028028789967901607	3.2438140955770326e-15	0.003
2.1	4.507402456318016e-8	0.000300484872661761	3.2232249451220954e-15	0.003
2.2	4.806439852832471e-8	0.0003204201269204082	3.2003980025942417e-15	0.003
2.3	5.113829375544255e-8	0.00034091217361132233	3.1789965307940386e-15	0.003
2.4	5.560701384276258e-8	0.000370702785818964	3.174111628439811e-15	0.003
2.5	5.983267446101678e-8	0.0003988730480729619	3.1615045907187838e-15	0.003
2.6	6.245922744130237e-8	0.0004163828987124186	3.1360959787284183e-15	0.003
2.7	6.732358115280657e-8	0.0004488109927144151	3.1284007827121326e-15	0.003
2.8	7.076720054814404e-8	0.00047176779645074737	3.112000225557563e-15	0.003
2.9	7.457730628451682e-8	0.0004971677723374589	3.09628357674139e-15	0.003
3.0	7.93579150280767e-8	0.000529037582576852	3.0883453170126396e-15	0.003
3.1	8.382214683724632e-8	0.0005587982737889408	3.0819441884355257e-15	0.003
3.2	8.878807213932731e-8	0.0005919034922934928	3.0738324030914103e-15	0.003
3.3	9.339613852141416e-8	0.0006226230531371766	3.0653261711213113e-15	0.003
3.4	9.797308317310112e-8	0.0006531351417330002	3.0551014005945767e-15	0.003
3.5	1.0309040339226015e-7	0.0006872496307169625	3.0475390829703303e-15	0.003
3.6	1.086588325069486e-7	0.0007243714260229895	3.0434118202230527e-15	0.003
3.7	1.1372298090044702e-7	0.0007581314463430669	3.040000142065218e-15	0.003
3.8	1.2000428240534363e-7	0.0008000055878500755	3.0342002143242864e-15	0.003
3.9	1.2562429815753218e-7	0.0008374712842022257	3.0313356037378065e-15	0.003
4.0	1.3008372013487703e-7	0.0008671999107891254	3.0193866066890788e-15	0.003
4.1	1.364051116831367e-7	0.0009093413115810922	3.0139362128635995e-15	0.003
4.2	1.4284737951598222e-7	0.0009522885311419312	3.011189667737231e-15	0.003
4.3	1.48357779700857e-7	0.0009890234780190739	2.2009060582593615e-15	0.003
4.4	1.549331983349033e-7	0.0010328583441109552	2.1572860184858145e-15	0.003
4.5	1.6090610083109525e-7	0.0010726765512354072	1.122483247548407e-15	0.003
4.6	1.6754028408956347e-7	0.0011169031702461273	1.1043365936558088e-15	0.003
4.7	1.7446213909579222e-7	0.0011630475458657133	1.0763694817481618e-15	0.003
4.8	1.8086275889750136e-7	0.0012057171198545423	1.06123499325696e-15	0.003
4.9	1.8801416559359992e-7	0.001253391796151032	1.0496379715784708e-15	0.003
5.0	1.9387670380931747e-7	0.0012924742625226638	1.0332273804155117e-15	0.003
5.1	2.0199856876802455e-7	0.0013466184748832058	1.0141146602085515e-15	0.003
